iter	Passed	Remaining
0	145	145473
1	147	73714
2	149	49773
3	151	37821
4	154	30649
5	155	25842
6	157	22394
7	159	19790
8	161	17747
9	162	16102
10	164	14767
11	166	13668
12	167	12746
13	169	11953
14	171	11263
15	173	10672
16	175	10143
17	177	9673
18	179	9249
19	180	8868
20	182	8524
21	184	8208
22	186	7929
23	188	7663
24	190	7420
25	192	7193
26	193	6984
27	195	6789
28	197	6614
29	199	6444
30	201	6297
31	203	6149
32	205	6011
33	206	5880
34	208	5756
35	210	5635
36	212	5525
37	214	5423
38	216	5323
39	217	5229
40	219	5138
41	221	5051
42	223	4970
43	225	4890
44	226	4813
45	228	4741
46	230	4675
47	232	4611
48	234	4547
49	236	4487
50	237	4428
51	239	4371
52	241	4317
53	243	4263
54	245	4215
55	247	4166
56	248	4118
57	250	4073
58	252	4028
59	254	3984
60	256	3942
61	257	3902
62	259	3864
63	261	3830
64	263	3796
65	265	3763
66	267	3729
67	268	3684
68	270	3651
69	272	3623
70	275	3598
71	277	3573
72	279	3546
73	281	3518
74	282	3489
75	284	3462
76	286	3434
77	288	3411
78	290	3386
79	292	3360
80	293	3335
81	295	3310
82	297	3288
83	299	3265
84	300	3236
85	302	3215
86	303	3189
87	306	3171
88	307	3151
89	309	3131
90	311	3110
91	313	3090
92	314	3071
93	316	3053
94	318	3035
95	320	3018
96	322	3000
97	324	2984
98	326	2967
99	327	2950
100	329	2934
101	330	2909
102	332	2895
103	334	2880
104	336	2864
105	337	2849
106	339	2834
107	341	2818
108	343	2804
109	344	2789
110	346	2776
111	348	2762
112	350	2748
113	352	2735
114	353	2722
115	355	2706
116	356	2693
117	358	2681
118	360	2666
119	362	2655
120	363	2643
121	365	2632
122	366	2614
123	368	2602
124	370	2592
125	372	2581
126	373	2569
127	375	2555
128	376	2544
129	378	2535
130	380	2525
131	382	2516
132	384	2505
133	386	2494
134	387	2485
135	389	2476
136	391	2468
137	393	2459
138	395	2450
139	397	2442
140	399	2435
141	401	2426
142	403	2420
143	406	2414
144	408	2407
145	410	2400
146	412	2393
147	414	2386
148	416	2380
149	418	2372
150	420	2365
151	422	2358
152	424	2352
153	426	2345
154	428	2338
155	430	2331
156	433	2325
157	435	2319
158	437	2312
159	439	2306
160	441	2299
161	443	2293
162	445	2286
163	447	2280
164	449	2274
165	451	2269
166	453	2263
167	455	2256
168	457	2250
169	459	2244
170	461	2238
171	463	2232
172	465	2225
173	467	2219
174	469	2213
175	471	2207
176	473	2200
177	475	2195
178	477	2188
179	479	2183
180	480	2173
181	481	2166
182	483	2159
183	485	2154
184	487	2149
185	489	2143
186	491	2138
187	493	2133
188	495	2128
189	498	2123
190	499	2117
191	501	2111
192	503	2105
193	505	2101
194	507	2095
195	509	2090
196	511	2086
197	514	2082
198	517	2081
199	519	2077
200	521	2073
201	523	2068
202	525	2062
203	527	2056
204	529	2051
205	531	2049
206	534	2047
207	537	2045
208	538	2039
209	541	2036
210	544	2034
211	546	2030
212	548	2026
213	550	2022
214	553	2019
215	555	2015
216	557	2010
217	559	2005
218	561	2001
219	563	1997
220	565	1992
221	567	1987
222	569	1983
223	571	1979
224	573	1974
225	575	1969
226	577	1965
227	578	1960
228	581	1958
229	583	1954
230	585	1950
231	588	1947
232	590	1945
233	593	1943
234	596	1942
235	599	1939
236	601	1936
237	603	1932
238	605	1928
239	607	1925
240	610	1923
241	613	1921
242	615	1918
243	618	1914
244	620	1911
245	623	1909
246	625	1908
247	627	1903
248	629	1898
249	631	1894
250	633	1890
251	635	1886
252	637	1882
253	639	1878
254	641	1874
255	643	1869
256	645	1865
257	647	1862
258	650	1860
259	652	1856
260	654	1852
261	656	1847
262	657	1843
263	659	1838
264	661	1833
265	663	1829
266	665	1826
267	667	1823
268	669	1819
269	671	1815
270	673	1811
271	675	1806
272	677	1802
273	678	1799
274	680	1795
275	682	1791
276	684	1787
277	686	1783
278	688	1779
279	690	1775
280	692	1771
281	694	1767
282	696	1763
283	697	1759
284	699	1755
285	701	1751
286	703	1747
287	704	1742
288	706	1739
289	708	1735
290	710	1731
291	712	1727
292	714	1722
293	715	1718
294	717	1715
295	719	1711
296	721	1707
297	723	1703
298	724	1699
299	726	1695
300	728	1691
301	729	1686
302	731	1682
303	733	1678
304	735	1674
305	736	1671
306	738	1667
307	740	1663
308	742	1659
309	744	1656
310	745	1652
311	747	1649
312	750	1646
313	752	1643
314	753	1639
315	755	1635
316	757	1631
317	759	1628
318	760	1624
319	762	1620
320	764	1617
321	766	1614
322	768	1610
323	770	1606
324	772	1603
325	773	1599
326	775	1596
327	777	1593
328	779	1589
329	781	1585
330	782	1582
331	784	1578
332	786	1574
333	787	1571
334	790	1568
335	792	1565
